traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.001,1,66.8,9.2,5.0,0.02473750000000001,6.0,11.4,0,0.093
19,1,0.001,1,68.0,6.0,3.2,0.025652173913043353,9.8,13.0,0,0.0970238095238095
19,1,0.001,1,65.2,9.2,3.6,0.035742187499999994,7.4,10.8,0,0.09562499999999999
19,1,0.001,1,67.8,6.6,3.2,0.02723684210526317,7.0,9.799999999999999,0,0.10749999999999986
19,1,0.001,1,60.0,7.0,4.0,0.024812499999999984,7.8,12.4,0,0.09187499999999998
19,1,0.001,1,67.2,5.4,5.8,0.02967105263157891,6.0,9.8,0,0.17999999999999988
19,1,0.001,1,56.6,9.2,2.8,0.02471683673469387,9.2,12.0,0,0.09476190476190474
19,1,0.001,1,72.4,7.3999999999999995,4.0,0.03364130434782606,5.2,12.0,0,0.13
19,1,0.001,1,65.8,6.800000000000001,2.0,0.023805921052631587,9.6,10.6,0,0.0944047619047619
19,1,0.001,1,72.2,6.0,3.2,0.030454545454545557,7.6,9.2,0,0.09526315789473684
19,1,0.001,1,57.8,6.6,2.8,0.02490624999999997,8.2,9.0,0,0.09374999999999999
19,1,0.001,1,73.0,8.600000000000001,5.0,0.025687499999999912,7.6,12.6,0,0.09732142857142856
19,1,0.001,1,70.6,7.6,5.4,0.032974137931034465,7.0,12.4,0,0.095625
19,1,0.001,1,67.2,7.199999999999999,2.6,0.03327205882352936,10.4,10.6,0,0.09479166666666668
19,1,0.001,1,68.2,9.2,5.2,0.02756249999999998,7.2,10.6,0,0.09383333333333332
19,1,0.001,1,65.2,8.2,2.4,0.028586956521739117,6.6,13.799999999999999,0,0.13374999999999992
19,1,0.001,1,64.8,8.2,4.2,0.029999999999999957,8.4,11.8,0,0.09249999999999999
19,1,0.001,1,54.4,6.0,3.8,0.034218749999999985,6.0,9.8,0,0.0975
19,1,0.001,1,57.6,6.8,4.4,0.0270833333333333,7.4,12.4,0,0.092
19,1,0.001,1,63.0,6.0,4.8,0.03176136363636357,6.2,11.2,0,0.09803571428571428
19,1,0.001,1,72.6,9.2,4.2,0.024065068493150685,9.4,9.0,0,0.094
19,1,0.001,1,85.4,6.199999999999999,4.4,0.028750000000000064,9.4,14.200000000000001,0,0.09661764705882352
19,1,0.001,1,58.2,10.0,4.2,0.024712962962962975,8.8,10.6,0,0.09305555555555554
19,1,0.001,1,79.4,7.800000000000001,5.0,0.0283999999999999,7.4,15.399999999999999,0,0.098
19,1,0.001,1,65.2,7.6,4.0,0.02451351351351351,8.4,11.0,0,0.0936111111111111
19,1,0.001,5,74.0,9.6,0.0,0.03478571428571426,9.4,10.6,0,0.09943181818181818
19,1,0.001,5,69.6,8.2,0.0,0.03149038461538448,8.0,9.6,0,0.0938235294117647
19,1,0.001,5,83.6,9.8,0.0,0.030480769230769283,9.4,9.0,0,0.09701923076923077
19,1,0.001,5,68.8,9.2,0.0,0.029330357142857078,10.4,9.0,0,0.09565789473684208
19,1,0.001,5,72.0,7.2,0.0,0.027499999999999986,9.2,8.0,0,0.09955882352941177
19,1,0.001,5,80.0,9.0,0.0,0.0320833333333333,10.2,8.200000000000001,0,0.09717391304347825
19,1,0.001,5,70.4,7.4,0.0,0.024499999999999987,8.8,9.0,0,0.09916666666666665
19,1,0.001,5,63.8,8.6,0.0,0.03189814814814817,9.2,8.0,0,0.09670454545454547
19,1,0.001,5,99.2,9.2,0.0,0.02657608695652177,10.8,7.0,0,0.09924999999999998
19,1,0.001,5,60.2,10.4,0.0,0.027731481481481496,10.2,10.4,0,0.0963392857142857
19,1,0.001,5,77.6,8.0,0.0,0.03508064516129032,7.8,9.4,0,0.18249999999999994
19,1,0.001,5,77.0,11.2,0.0,0.03226562499999995,8.8,11.6,0,0.09647058823529411
19,1,0.001,5,80.8,8.6,0.0,0.024701612903225815,10.2,8.6,0,0.09741379310344828
19,1,0.001,5,83.4,11.6,0.0,0.02559999999999988,11.6,8.8,0,0.09645833333333334
