i,traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
0,1.0,1,25,1,131.0,2.6,7.0,4.9890859481582535,21.6,13.4,0,77.9166666666666
1,1.0,1,25,1,144.6,1.2,5.2,8.98,18.0,14.4,0,82.49999999999993
2,1.0,1,25,1,137.4,1.8,6.8,4.9991631799163185,22.6,12.4,0,82.96875
3,1.0,1,25,1,150.4,0.6,4.4,7.0500000000000025,19.6,15.0,0,77.70833333333331
4,1.0,1,25,1,141.6,1.7999999999999998,6.0,4.979831932773109,22.6,12.6,0,65.62499999999999
5,1.0,1,25,1,142.8,0.8,4.8,7.928571428571443,18.8,11.0,0,82.30769230769226
6,1.0,1,25,1,123.6,2.4,4.6,6.8636363636363455,21.8,10.799999999999999,0,73.25
7,1.0,1,25,1,136.0,0.4,3.6,7.281249999999956,18.4,12.200000000000001,0,84.37500000000001
8,1.0,1,25,1,134.4,2.2,5.6,4.891803278688524,20.8,6.0,0,79.8076923076923
9,1.0,1,25,1,123.6,0.6,4.6,8.107142857142895,18.4,13.0,0,66.07142857142856
10,1.0,1,25,1,127.2,1.2,4.8,6.239130434782607,18.8,10.0,0,81.9230769230769
11,1.0,1,25,1,112.4,0.0,3.6,7.159090909090879,16.2,10.6,0,69.6428571428571
12,1.0,1,25,1,127.4,1.0,4.0,4.967482517482518,18.6,8.6,0,72.81249999999993
13,1.0,1,25,1,140.2,1.0,5.2,5.171052631578922,19.6,8.0,0,82.32142857142854
14,1.0,1,25,1,138.6,2.2,4.4,5.631578947368405,22.2,11.799999999999999,0,78.24999999999997
15,1.0,1,25,1,156.6,0.4,5.2,8.304687499999975,19.6,14.0,0,71.66666666666663
16,1.0,1,25,1,124.2,1.4,3.6,5.307692307692275,23.2,9.799999999999999,0,78.07692307692308
17,1.0,1,25,1,149.0,0.8,5.8,8.528571428571437,18.2,12.399999999999999,0,87.49999999999991
18,1.0,1,25,1,127.8,3.5999999999999996,6.8,5.82407407407406,21.4,12.0,0,79.54545454545449
19,1.0,1,25,1,158.4,0.8,8.2,8.345238095238084,17.4,17.0,0,73.43749999999994
20,1.0,1,25,1,126.4,2.2,4.8,6.718750000000004,22.6,16.8,0,80.625
21,1.0,1,25,1,152.4,0.6000000000000001,6.0,8.01000000000002,18.4,10.4,0,80.83333333333329
22,1.0,1,25,1,140.4,2.2,4.6,5.557692307692291,22.0,9.200000000000001,0,70.74999999999996
23,1.0,1,25,1,163.4,0.2,9.0,9.197916666666682,21.2,15.6,0,79.7916666666666
24,1.0,1,25,1,126.4,1.7999999999999998,7.0,4.973529411764705,22.4,14.799999999999999,0,76.49999999999997
25,1.0,10,25,1,135.6,0.0,9.0,7.190476190476193,19.0,17.8,0,111.24999999999974
26,1.0,10,25,1,167.0,0.0,8.4,8.227272727272709,23.8,14.399999999999999,0,83.4722222222222
27,1.0,10,25,1,129.6,0.0,8.4,7.6916666666666345,19.8,14.200000000000001,0,93.21428571428572
28,1.0,10,25,1,140.0,0.0,5.8,9.08333333333334,19.2,11.799999999999999,0,89.02777777777774
29,1.0,10,25,1,125.8,0.0,7.6,5.991935483870939,19.2,12.8,0,92.49999999999994
30,1.0,10,25,1,151.4,0.0,7.6,9.531249999999986,22.0,12.4,0,88.33333333333329
31,1.0,10,25,1,120.8,0.0,5.0,6.691176470588227,18.0,10.6,0,97.88461538461539
32,1.0,10,25,1,143.8,0.0,4.2,7.901785714285705,20.2,14.0,0,83.83333333333329
33,1.0,10,25,1,133.4,0.0,8.0,4.967591240875913,19.4,13.0,0,85.83333333333333
34,1.0,10,25,1,143.0,0.0,8.4,11.534090909090867,19.6,15.4,0,88.50000000000004
35,1.0,10,25,1,124.0,0.2,8.0,7.804054054054037,18.0,13.4,0,153.99999999999983
36,1.0,10,25,1,148.0,0.2,7.0,9.10185185185185,20.6,12.4,0,87.25
37,1.0,10,25,1,140.0,0.0,8.8,8.907407407407401,20.0,16.0,0,88.75000000000003
38,1.0,10,25,1,138.2,0.2,5.6,9.982142857142822,20.8,9.6,0,80.90909090909085
39,1.0,10,25,1,161.6,0.0,10.6,8.287234042553179,22.2,17.599999999999998,0,99.33333333333329
40,1.0,10,25,1,146.4,0.0,2.8,9.124999999999996,22.6,7.2,0,84.16666666666661
41,1.0,10,25,1,136.8,0.2,9.0,6.558333333333337,19.6,15.0,0,95.89285714285714
42,1.0,10,25,1,132.4,0.0,3.8,9.322580645161286,20.0,8.2,0,90.00000000000003
43,1.0,10,25,1,146.4,0.0,8.2,8.631578947368412,20.0,17.2,0,96.53846153846155
44,1.0,10,25,1,157.2,0.0,4.6,8.763513513513505,21.6,12.8,0,77.25
45,1.0,10,25,1,131.8,0.0,7.8,7.143939393939396,19.2,13.799999999999999,0,96.78571428571429
46,1.0,10,25,1,147.4,0.0,7.8,8.46666666666664,21.4,12.2,0,81.66666666666667
47,1.0,10,25,1,137.6,0.0,9.2,6.904411764705861,19.2,16.8,0,87.27272727272722
48,1.0,10,25,1,135.8,0.0,5.8,17.70454545454556,19.8,10.8,0,80.20833333333334
49,1.0,10,25,1,135.4,0.0,8.0,6.454545454545462,19.2,13.8,0,91.9999999999999
50,1.0,5,25,1,146.458,0.0,5.793,8.179889720587372,21.4,10.2,0,84.03846153846155
51,1.0,5,25,1,135.531,0.0,6.606,6.953269625938767,19.6,12.799999999999999,0,80.38461538461537
52,1.0,5,25,1,157.0,0.0,7.6,9.238636363636346,23.4,11.399999999999999,0,129.99999999999983
53,1.0,5,25,1,137.4,0.0,8.2,9.478571428571396,20.6,15.0,0,83.75000000000004
54,1.0,5,25,1,131.8,0.0,5.2,8.132352941176418,19.8,10.0,0,96.42857142857144
55,1.0,5,25,1,141.8,0.0,11.8,7.666666666666674,18.6,17.0,0,88.46153846153844
56,1.0,5,25,1,151.4,0.0,5.6,11.87499999999994,22.0,12.600000000000001,0,96.87500000000003
57,1.0,5,25,1,130.8,0.2,7.0,5.032608695652237,20.6,11.2,0,71.24999999999994
58,1.0,5,25,1,154.8,0.0,6.4,9.770270270270249,22.2,12.600000000000001,0,88.92857142857142
59,1.0,5,25,1,147.6,0.0,8.4,5.8260869565217615,21.6,12.2,0,87.20588235294116
60,1.0,5,25,1,148.4,0.0,5.6,7.870000000000004,21.4,11.0,0,86.11111111111109
61,1.0,5,25,1,141.8,0.0,8.4,6.875000000000003,21.6,13.8,0,82.5
62,1.0,5,25,1,143.0,0.0,3.2,10.535714285714253,22.2,10.0,0,93.59374999999994
63,1.0,5,25,1,128.0,0.0,9.4,7.0937500000000036,18.8,15.0,0,82.69230769230765
64,1.0,5,25,1,146.0,0.2,5.2,11.799999999999855,21.2,10.4,0,97.27272727272717
65,1.0,5,25,1,137.2,0.0,8.8,5.083333333333329,20.0,12.600000000000001,0,90.5769230769231
66,1.0,5,25,1,142.0,0.0,5.8,16.200000000000045,21.8,10.6,0,125.50000000000026
67,1.0,5,25,1,143.0,0.0,8.8,8.405172413793103,19.4,16.599999999999998,0,87.49999999999997
68,1.0,5,25,1,135.8,0.0,5.4,13.176470588235185,20.0,10.2,0,127.50000000000023
69,1.0,5,25,1,130.4,0.0,8.0,6.4274193548387135,18.6,14.8,0,79.16666666666666
70,1.0,5,25,1,121.2,0.0,4.6,7.305555555555546,18.0,10.4,0,82.85714285714283
71,1.0,5,25,1,148.6,0.0,11.2,8.166666666666684,19.4,15.0,0,76.24999999999997
72,1.0,5,25,1,150.0,0.0,5.4,9.611111111111109,22.6,13.200000000000001,0,147.49999999999932
73,1.0,5,25,1,138.0,0.2,8.8,5.987499999999983,19.4,14.200000000000001,0,86.40624999999997
74,1.0,5,25,1,144.0,0.0,5.8,8.960000000000008,20.8,11.0,0,92.8846153846153
75,1.0,1,25,50,173.0,4.4,0.0,15.089285714285634,31.0,1.2,0,87.39583333333333
76,1.0,1,25,50,171.4,4.8,0.0,33.240740740740605,25.8,7.8,0,95.79545454545456
77,1.0,1,25,50,187.0,5.199999999999999,0.0,58.30188679245279,29.8,2.6,0,97.28723404255318
78,1.0,1,25,50,179.4,5.4,0.0,34.07407407407402,26.0,8.399999999999999,0,144.99999999999983
79,1.0,1,25,50,180.2,1.7999999999999998,0.0,38.949999999999896,33.2,1.2,0,91.4189189189189
80,1.0,1,25,50,185.8,3.5999999999999996,0.0,9.440972222222218,27.2,4.6,0,96.74528301886792
81,1.0,1,25,50,191.8,4.2,0.0,29.305555555555593,31.8,2.8,0,91.91666666666664
82,1.0,1,25,50,177.2,3.5999999999999996,0.0,17.72058823529404,26.6,6.0,0,94.31818181818181
83,1.0,1,25,50,196.8,4.8,0.0,31.899999999999977,33.8,2.4000000000000004,0,96.64062500000001
84,1.0,1,25,50,174.4,6.800000000000001,0.0,49.9999999999998,24.8,8.6,0,99.53703703703704
85,1.0,1,25,50,189.4,7.0,0.0,61.84426229508192,28.6,8.799999999999999,0,96.55555555555553
86,1.0,1,25,50,180.6,7.8,0.0,60.20161290322581,25.4,7.8,0,94.59302325581396
87,1.0,1,25,50,185.6,7.8,0.0,56.298076923076934,29.2,6.6,0,94.59459459459458
88,1.0,1,25,50,161.2,5.4,0.0,41.9117647058822,25.6,6.2,0,94.06976744186045
89,1.0,1,25,50,185.6,6.6,0.0,22.473684210526358,29.6,1.4,0,91.77631578947367
90,1.0,1,25,50,174.6,7.6,0.0,57.4553571428572,23.8,11.8,0,95.49019607843137
91,1.0,1,25,50,192.8,7.0,0.0,59.21296296296289,30.8,6.8,0,99.66346153846152
92,1.0,1,25,50,169.6,4.6,0.0,57.542372881355824,25.4,7.6,0,126.2499999999998
93,1.0,1,25,50,183.2,3.4000000000000004,0.0,30.62499999999979,31.0,1.2,0,91.29032258064518
94,1.0,1,25,50,176.6,3.0,0.0,14.69736842105242,26.0,4.6000000000000005,0,97.9891304347826
95,1.0,1,25,50,184.4,6.2,0.0,28.181818181818493,29.6,3.8,0,92.07142857142856
96,1.0,1,25,50,157.0,3.1999999999999997,0.0,39.62500000000002,25.0,6.199999999999999,0,123.5714285714288
97,1.0,1,25,50,187.8,2.6,0.0,52.8571428571428,32.2,2.2,0,95.98484848484847
98,1.0,1,25,50,177.4,4.6,0.0,40.93750000000007,23.8,15.4,0,152.49999999999994
99,1.0,1,25,50,180.2,5.199999999999999,0.0,58.396226415094326,31.8,0.4,0,99.36046511627904
100,1.0,10,25,50,65.2,9.4,0.0,1802.0408163265292,5.0,11.4,0,4312.499999999998
101,1.0,10,25,50,90.6,8.2,0.0,2078.278688524589,13.2,7.0,0,4097.222222222223
102,1.0,10,25,50,70.8,9.8,0.0,1885.245901639345,10.2,8.6,0,4089.2857142857133
103,1.0,10,25,50,87.6,6.199999999999999,0.0,1908.4905660377353,11.6,6.8,0,4395.833333333333
104,1.0,10,25,50,72.2,9.0,0.0,1698.8636363636342,10.2,7.6000000000000005,0,4232.142857142857
105,1.0,10,25,50,90.0,6.6000000000000005,0.0,2013.0952380952376,10.4,7.8,0,4166.666666666665
106,1.0,10,25,50,77.6,8.4,0.0,1888.3620689655158,10.2,8.6,0,3899.999999999998
107,1.0,10,25,50,83.6,6.2,0.0,1979.9180327868849,12.0,6.0,0,4272.727272727272
108,1.0,10,25,50,71.4,8.8,0.0,1836.5384615384608,7.4,9.2,0,4412.499999999999
109,1.0,10,25,50,79.0,7.0,0.0,1983.0357142857138,12.6,6.4,0,4387.5
110,1.0,10,25,50,48.0,11.0,0.0,1901.4150943396216,2.0,13.8,0,3687.4999999999986
111,1.0,10,25,50,62.4,10.0,0.0,2185.9375,10.8,6.6,0,4616.666666666666
112,1.0,10,25,50,74.0,7.4,0.0,1906.1224489795902,8.4,8.4,0,4519.2307692307695
113,1.0,10,25,50,76.4,8.0,0.0,1972.4576271186431,9.0,9.0,0,4142.857142857142
114,1.0,10,25,50,56.6,11.4,0.0,1951.3157894736835,9.2,10.0,0,4486.111111111111
115,1.0,10,25,50,94.2,7.2,0.0,2090.2985074626868,12.8,7.6,0,3449.9999999999973
116,1.0,10,25,50,55.4,11.2,0.0,1702.1276595744673,1.6,12.6,0,4124.999999999998
117,1.0,10,25,50,63.4,8.2,0.0,2145.3389830508468,13.8,6.4,0,4566.176470588236
118,1.0,10,25,50,73.8,8.8,0.0,1842.5531914893604,11.8,8.200000000000001,0,4375.0
119,1.0,10,25,50,102.4,4.6,0.0,1963.1578947368432,11.4,6.0,0,3729.1666666666633
120,1.0,10,25,50,70.6,8.6,0.0,1603.4090909090896,10.6,7.8,0,4275.0
121,1.0,10,25,50,95.4,5.0,0.0,1956.2499999999982,15.2,4.2,0,4249.999999999999
122,1.0,10,25,50,79.0,7.6000000000000005,0.0,1561.5384615384578,7.4,8.8,0,4500.0
123,1.0,10,25,50,84.6,6.6,0.0,1938.1355932203387,11.2,7.6,0,4180.555555555556
124,1.0,10,25,50,55.2,10.6,0.0,1863.2075471698108,6.2,10.2,0,4520.833333333332
125,1.0,5,25,50,60.4,32.2,0.0,849.9999999999999,1.4,29.6,0,2162.5
126,1.0,5,25,50,79.2,27.6,0.0,814.9999999999998,7.2,27.400000000000002,0,2308.333333333333
127,1.0,5,25,50,63.0,28.4,0.0,826.6666666666665,3.6,29.2,0,2124.999999999999
128,1.0,5,25,50,76.8,27.4,0.0,854.9382716049381,4.0,29.4,0,2304.9999999999995
129,1.0,5,25,50,89.8,26.0,0.0,857.1022727272726,4.2,27.400000000000002,0,2329.5454545454545
130,1.0,5,25,50,71.4,22.200000000000003,0.0,806.4102564102561,10.8,21.0,0,2243.75
131,1.0,5,25,50,0.0,30.2,0.0,808.823529411764,2.6,31.799999999999997,0,2049.999999999999
132,1.0,5,25,50,0.0,30.4,0.0,521.8750000000001,0.0,29.4,0,
133,1.0,5,25,50,0.0,30.4,0.0,597.2222222222208,0.0,29.2,0,
134,1.0,5,25,50,0.0,29.2,0.0,498.14814814814815,0.0,31.6,0,
135,1.0,5,25,50,0.0,31.2,0.0,683.3333333333333,0.0,29.8,0,
136,1.0,5,25,50,0.0,31.4,0.0,577.7777777777773,0.0,31.0,0,
137,1.0,5,25,50,0.0,29.6,0.0,498.58490566037733,0.0,30.2,0,
138,1.0,5,25,50,0.0,32.0,0.0,493.40909090909093,0.0,31.8,0,
139,1.0,5,25,50,0.0,30.8,0.0,496.01769911504414,0.0,30.4,0,
140,1.0,5,25,50,0.0,30.4,0.0,492.146017699115,0.0,30.4,0,
141,1.0,5,25,50,0.0,31.4,0.0,488.85135135135135,0.0,32.0,0,
142,1.0,5,25,50,0.0,29.2,0.0,499.2521367521367,0.0,29.400000000000002,0,
143,1.0,5,25,50,0.0,31.2,0.0,586.1111111111107,0.0,30.2,0,
144,1.0,5,25,50,0.0,30.6,0.0,491.1697247706422,0.0,31.4,0,
145,1.0,5,25,50,0.0,31.4,0.0,495.83333333333337,0.0,31.2,0,
146,1.0,5,25,50,0.0,30.2,0.0,498.6111111111111,0.0,30.799999999999997,0,
147,1.0,5,25,50,16.4,32.4,0.0,512.4999999999986,0.0,31.0,0,
148,1.0,5,25,50,77.2,32.0,0.0,834.4339622641505,2.4,28.6,0,2425.0
149,1.0,5,25,50,67.0,34.599999999999994,0.0,855.0561797752806,5.0,33.0,0,2350.0
150,1.0,1,25,100,197.4,6.199999999999999,0.0,71.9602272727273,30.2,6.4,0,183.49999999999991
151,1.0,1,25,100,154.4,4.800000000000001,0.0,24.41071428571437,25.6,5.4,0,98.85135135135134
152,1.0,1,25,100,177.6,3.0,0.0,53.53260869565206,27.8,2.2,0,96.09375
