app,start,end,attempt
emulated-app,1675232492769,1675232793134,0
emulated-app,1675232793997,1675233094498,0
emulated-app,1675233095830,1675233396348,0
emulated-app,1675233397133,1675233697729,0
emulated-app,1675233699125,1675233999897,0
emulated-app,1675234000846,1675234301196,0
emulated-app,1675234302341,1675234602860,0
emulated-app,1675234604157,1675234904698,0
emulated-app,1675234905671,1675235206019,0
emulated-app,1675235206981,1675235507368,0
emulated-app,1675235508715,1675235809103,0
emulated-app,1675235809789,1675236110317,0
