traffic,cb,retry,start,end
static-110,dynamic,dynamic,1675976250574,1675976551206
spike-110-160,dynamic,dynamic,1675976551525,1675976852083
static-110,dynamic,2,1675976853335,1675977157200
static-110,dynamic,10,1675977158913,1675977461952
spike-110-160,dynamic,2,1675977463658,1675977766349
spike-110-160,dynamic,10,1675977768021,1675978070589
static-110,dynamic,none,1675978071525,1675978373793
spike-110-160,dynamic,none,1675978374111,1675978677674
static-110,1,dynamic,1675978678605,1675978982236
static-110,50,dynamic,1675978983842,1675979287166
spike-110-160,1,dynamic,1675979288731,1675979592085
spike-110-160,50,dynamic,1675979593671,1675979897284
static-110,1,2,1675979899492,1675980199492
static-110,1,10,1675980202342,1675980502342
static-110,50,2,1675980505196,1675980805196
static-110,50,10,1675980808064,1675981108064
spike-110-160,1,2,1675981111014,1675981411014
spike-110-160,1,10,1675981413923,1675981713923
spike-110-160,50,2,1675981716846,1675982016846
spike-110-160,50,10,1675982019631,1675982319631
static-110,1,none,1675982321779,1675982621779
static-110,50,none,1675982623398,1675982923398
spike-110-160,1,none,1675982924921,1675983224921
spike-110-160,50,none,1675983226476,1675983526476
static-110,none,dynamic,1675983527396,1675983831135
spike-110-160,none,dynamic,1675983831458,1675984133096
static-110,none,2,1675984134032,1675984434032
static-110,none,10,1675984435629,1675984735629
spike-110-160,none,2,1675984737185,1675985037185
spike-110-160,none,10,1675985038728,1675985338728
static-110,none,none,1675985339642,1675985639642
spike-110-160,none,none,1675985639955,1675985939955
