traffic,cb,retry,start,end
static-110,1,1,1677794659438,1677794959438
static-110,1,10,1677794962740,1677795262740
static-110,1,5,1677795266154,1677795566154
static-110,50,1,1677795569485,1677795869485
static-110,50,10,1677795872840,1677796172840
static-110,50,5,1677796176112,1677796476112
static-110,100,1,1677796479484,1677796779484
static-110,100,10,1677796782806,1677797082806
static-110,100,5,1677797086172,1677797386172
static-110,1,none,1677797418736,1677797718736
static-110,50,none,1677797720543,1677798020543
static-110,100,none,1677798022318,1677798322318
static-110,none,1,1677798354228,1677798654228
static-110,none,10,1677798656011,1677798956011
static-110,none,5,1677798957938,1677799257938
static-110,none,none,1677799289031,1677799589031
