capacity,traffic,retry_attempt,retry_interval,cb,enforcement_point,start,end
33,0.8,1,1ms,1,3,1677940745407,1677941045407
33,0.8,1,1ms,5,3,1677941060707,1677941360686
33,0.8,1,1ms,10,3,1677941375927,1677941675922
33,0.8,1,1ms,20,3,1677941691188,1677941991182
33,0.8,1,1ms,50,3,1677942006421,1677942306422
33,0.8,1,1ms,500,3,1677942321685,1677942621697
33,0.8,1,1ms,1000,3,1677942636978,1677942936973
33,0.8,1,5ms,1,3,1677942952485,1677943252480
33,0.8,1,5ms,5,3,1677943267734,1677943567730
33,0.8,1,5ms,10,3,1677943582998,1677943883020
33,0.8,1,5ms,20,3,1677943898284,1677944198285
33,0.8,1,5ms,50,3,1677944213557,1677944513558
33,0.8,1,5ms,500,3,1677944528819,1677944828820
33,0.8,1,5ms,1000,3,1677944844092,1677945144054
33,0.8,1,10ms,1,3,1677945159502,1677945459500
33,0.8,1,10ms,5,3,1677945474757,1677945774755
33,0.8,1,10ms,10,3,1677945789994,1677946089991
33,0.8,1,10ms,20,3,1677946105243,1677946405223
33,0.8,1,10ms,50,3,1677946420484,1677946720486
33,0.8,1,10ms,500,3,1677946735733,1677947035735
33,0.8,1,10ms,1000,3,1677947050970,1677947350971
33,0.8,1,50ms,1,3,1677947366440,1677947666490
33,0.8,1,50ms,5,3,1677947681740,1677947981745
33,0.8,1,50ms,10,3,1677947996973,1677948296978
33,0.8,1,50ms,20,3,1677948312224,1677948612238
33,0.8,1,50ms,50,3,1677948627499,1677948927512
33,0.8,1,50ms,500,3,1677948942765,1677949242772
33,0.8,1,50ms,1000,3,1677949258020,1677949558027
33,0.8,1,100ms,1,3,1677949573521,1677949873513
33,0.8,1,100ms,5,3,1677949888748,1677950188754
33,0.8,1,100ms,10,3,1677950204004,1677950504010
33,0.8,1,100ms,20,3,1677950519592,1677950819598
33,0.8,1,100ms,50,3,1677950835191,1677951135198
33,0.8,1,100ms,500,3,1677951150454,1677951450460
33,0.8,1,100ms,1000,3,1677951465708,1677951765713
33,0.8,2,1ms,1,3,1677951781156,1677952081162
33,0.8,2,1ms,5,3,1677952096413,1677952396440
33,0.8,2,1ms,10,3,1677952411704,1677952711711
33,0.8,2,1ms,20,3,1677952726963,1677953026970
33,0.8,2,1ms,50,3,1677953042233,1677953342234
33,0.8,2,1ms,500,3,1677953357481,1677953657444
33,0.8,2,1ms,1000,3,1677953672685,1677953972690
33,0.8,2,5ms,1,3,1677953988140,1677954288144
33,0.8,2,5ms,5,3,1677954303385,1677954603390
33,0.8,2,5ms,10,3,1677954618639,1677954918644
33,0.8,2,5ms,20,3,1677954933885,1677955233889
33,0.8,2,5ms,50,3,1677955249140,1677955549144
33,0.8,2,5ms,500,3,1677955564393,1677955864389
33,0.8,2,5ms,1000,3,1677955879640,1677956179641
33,0.8,2,10ms,1,3,1677956195121,1677956495124
33,0.8,2,10ms,5,3,1677956510371,1677956810375
33,0.8,2,10ms,10,3,1677956825621,1677957125667
33,0.8,2,10ms,20,3,1677957140918,1677957440925
33,0.8,2,10ms,50,3,1677957456170,1677957756171
33,0.8,2,10ms,500,3,1677957771417,1677958071418
33,0.8,2,10ms,1000,3,1677958086657,1677958386677
33,0.8,2,50ms,1,3,1677958402166,1677958702175
33,0.8,2,50ms,5,3,1677958717418,1677959017427
33,0.8,2,50ms,10,3,1677959032667,1677959332674
33,0.8,2,50ms,20,3,1677959347928,1677959647896
33,0.8,2,50ms,50,3,1677959663148,1677959963154
33,0.8,2,50ms,500,3,1677959978401,1677960278407
33,0.8,2,50ms,1000,3,1677960293650,1677960593656
33,0.8,2,100ms,1,3,1677960609128,1677960909142
33,0.8,2,100ms,5,3,1677960924379,1677961224376
33,0.8,2,100ms,10,3,1677961239606,1677961539611
33,0.8,2,100ms,20,3,1677961554872,1677961854879
33,0.8,2,100ms,50,3,1677961870117,1677962170097
33,0.8,2,100ms,500,3,1677962185333,1677962485337
33,0.8,2,100ms,1000,3,1677962500589,1677962800587
33,0.8,5,1ms,1,3,1677962816034,1677963116063
33,0.8,5,1ms,5,3,1677963131302,1677963431313
33,0.8,5,1ms,10,3,1677963446562,1677963746569
33,0.8,5,1ms,20,3,1677963761851,1677964061857
33,0.8,5,1ms,50,3,1677964077100,1677964377076
33,0.8,5,1ms,500,3,1677964392323,1677964692328
33,0.8,5,1ms,1000,3,1677964707580,1677965007584
33,0.8,5,5ms,1,3,1677965023030,1677965323034
33,0.8,5,5ms,5,3,1677965338289,1677965638322
33,0.8,5,5ms,10,3,1677965653576,1677965953584
33,0.8,5,5ms,20,3,1677965968831,1677966268839
33,0.8,5,5ms,50,3,1677966284083,1677966584091
33,0.8,5,5ms,500,3,1677966599339,1677966899337
33,0.8,5,5ms,1000,3,1677966914593,1677967214600
33,0.8,5,10ms,1,3,1677967230056,1677967530057
33,0.8,5,10ms,5,3,1677967545304,1677967845312
33,0.8,5,10ms,10,3,1677967860578,1677968160552
33,0.8,5,10ms,20,3,1677968175786,1677968475790
33,0.8,5,10ms,50,3,1677968491031,1677968791036
33,0.8,5,10ms,500,3,1677968806280,1677969106285
33,0.8,5,10ms,1000,3,1677969121546,1677969421537
33,0.8,5,50ms,1,3,1677969437003,1677969737007
33,0.8,5,50ms,5,3,1677969752252,1677970052256
33,0.8,5,50ms,10,3,1677970067506,1677970367508
33,0.8,5,50ms,20,3,1677970382757,1677970682758
33,0.8,5,50ms,50,3,1677970697991,1677970997994
33,0.8,5,50ms,500,3,1677971013248,1677971313252
33,0.8,5,50ms,1000,3,1677971328496,1677971628499
33,0.8,5,100ms,1,3,1677971643980,1677971943984
33,0.8,5,100ms,5,3,1677971959229,1677972259233
33,0.8,5,100ms,10,3,1677972274484,1677972574487
33,0.8,5,100ms,20,3,1677972589730,1677972889740
33,0.8,5,100ms,50,3,1677972904986,1677973204991
33,0.8,5,100ms,500,3,1677973220227,1677973520226
33,0.8,5,100ms,1000,3,1677973535496,1677973835492
33,0.8,10,1ms,1,3,1677973850950,1677974150960
33,0.8,10,1ms,5,3,1677974166206,1677974466211
33,0.8,10,1ms,10,3,1677974481468,1677974781472
33,0.8,10,1ms,20,3,1677974796715,1677975096720
33,0.8,10,1ms,50,3,1677975111958,1677975411970
33,0.8,10,1ms,500,3,1677975427206,1677975727202
33,0.8,10,1ms,1000,3,1677975742440,1677976042445
33,0.8,10,5ms,1,3,1677976057895,1677976357891
33,0.8,10,5ms,5,3,1677976373129,1677976673189
33,0.8,10,5ms,10,3,1677976688441,1677976988450
33,0.8,10,5ms,20,3,1677977003704,1677977303713
33,0.8,10,5ms,50,3,1677977318958,1677977618967
33,0.8,10,5ms,500,3,1677977634209,1677977934243
33,0.8,10,5ms,1000,3,1677977949487,1677978249498
33,0.8,10,10ms,1,3,1677978264964,1677978564975
33,0.8,10,10ms,5,3,1677978580229,1677978880206
33,0.8,10,10ms,10,3,1677978895453,1677979195458
33,0.8,10,10ms,20,3,1677979210709,1677979510716
33,0.8,10,10ms,50,3,1677979525953,1677979825955
33,0.8,10,10ms,500,3,1677979841215,1677980141239
33,0.8,10,10ms,1000,3,1677980156488,1677980456497
33,0.8,10,50ms,1,3,1677980471948,1677980771957
33,0.8,10,50ms,5,3,1677980787223,1677981087232
33,0.8,10,50ms,10,3,1677981102479,1677981402494
