traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
40,1,1,1,1,1ms,1678504064319,1678504124319
40,1,1,1,1,25ms,1678504124573,1678504184576
40,1,1,1,1,50ms,1678504184833,1678504244836
40,1,1,1,2,1ms,1678504245087,1678504305095
40,1,1,1,2,25ms,1678504305371,1678504365378
40,1,1,1,2,50ms,1678504365661,1678504425661
40,1,1,1,5,1ms,1678504425896,1678504485898
40,1,1,1,5,25ms,1678504486156,1678504546178
40,1,1,1,5,50ms,1678504546443,1678504606445
40,1,1,50,1,1ms,1678504606969,1678504666978
40,1,1,50,1,25ms,1678504667254,1678504727262
40,1,1,50,1,50ms,1678504727539,1678504787543
40,1,1,50,2,1ms,1678504787812,1678504847811
40,1,1,50,2,25ms,1678504848098,1678504908105
40,1,1,50,2,50ms,1678504908374,1678504968381
40,1,1,50,5,1ms,1678504968645,1678505028646
40,1,1,50,5,25ms,1678505028915,1678505088917
40,1,1,50,5,50ms,1678505089235,1678505149238
40,1,1,1000,1,1ms,1678505149751,1678505209753
40,1,1,1000,1,25ms,1678505210037,1678505270040
40,1,1,1000,1,50ms,1678505270307,1678505330306
40,1,1,1000,2,1ms,1678505330571,1678505390573
40,1,1,1000,2,25ms,1678505390835,1678505450838
40,1,1,1000,2,50ms,1678505451084,1678505511087
40,1,1,1000,5,1ms,1678505511348,1678505571355
40,1,1,1000,5,25ms,1678505571629,1678505631631
40,1,1,1000,5,50ms,1678505631885,1678505691890
40,1,50,1,1,1ms,1678505692654,1678505752691
40,1,50,1,1,25ms,1678505752943,1678505812947
40,1,50,1,1,50ms,1678505813217,1678505873219
40,1,50,1,2,1ms,1678505873478,1678505933483
40,1,50,1,2,25ms,1678505933738,1678505993740
40,1,50,1,2,50ms,1678505993987,1678506053992
40,1,50,1,5,1ms,1678506054264,1678506114271
40,1,50,1,5,25ms,1678506114524,1678506174526
40,1,50,1,5,50ms,1678506174781,1678506234789
40,1,50,50,1,1ms,1678506235280,1678506295289
40,1,50,50,1,25ms,1678506295537,1678506355545
40,1,50,50,1,50ms,1678506355801,1678506415809
40,1,50,50,2,1ms,1678506416064,1678506476070
40,1,50,50,2,25ms,1678506476323,1678506536323
40,1,50,50,2,50ms,1678506536582,1678506596586
40,1,50,50,5,1ms,1678506596860,1678506656868
40,1,50,50,5,25ms,1678506657132,1678506717133
40,1,50,50,5,50ms,1678506717389,1678506777395
40,1,50,1000,1,1ms,1678506777891,1678506837896
40,1,50,1000,1,25ms,1678506838173,1678506898182
40,1,50,1000,1,50ms,1678506898440,1678506958448
40,1,50,1000,2,1ms,1678506958722,1678507018743
40,1,50,1000,2,25ms,1678507018990,1678507078998
40,1,50,1000,2,50ms,1678507079260,1678507139270
40,1,50,1000,5,1ms,1678507139542,1678507199545
40,1,50,1000,5,25ms,1678507199797,1678507259804
40,1,50,1000,5,50ms,1678507260070,1678507320078
40,1,1000,1,1,1ms,1678507320809,1678507380818
40,1,1000,1,1,25ms,1678507381048,1678507441048
40,1,1000,1,1,50ms,1678507441309,1678507501315
40,1,1000,1,2,1ms,1678507501567,1678507561570
40,1,1000,1,2,25ms,1678507561824,1678507621829
40,1,1000,1,2,50ms,1678507622099,1678507682106
40,1,1000,1,5,1ms,1678507682370,1678507742379
40,1,1000,1,5,25ms,1678507742627,1678507802637
40,1,1000,1,5,50ms,1678507802895,1678507862897
40,1,1000,50,1,1ms,1678507863397,1678507923400
40,1,1000,50,1,25ms,1678507923664,1678507983668
40,1,1000,50,1,50ms,1678507983905,1678508043915
40,1,1000,50,2,1ms,1678508044181,1678508104190
40,1,1000,50,2,25ms,1678508104454,1678508164452
40,1,1000,50,2,50ms,1678508164711,1678508224684
40,1,1000,50,5,1ms,1678508224927,1678508284926
40,1,1000,50,5,25ms,1678508285177,1678508345177
40,1,1000,50,5,50ms,1678508345426,1678508405431
40,1,1000,1000,1,1ms,1678508405907,1678508465913
40,1,1000,1000,1,25ms,1678508466177,1678508526183
40,1,1000,1000,1,50ms,1678508526449,1678508586455
