traffic,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
40,70,1,1,0,0,1679005547384,1679005859789
40,70,1,0,1,1ms,1679005860175,1679006169886
40,70,1,0,1,100ms,1679006169888,1679006479586
40,70,1,0,5,1ms,1679006479589,1679006788401
40,70,1,0,5,100ms,1679006788406,1679007101596
40,70,1,0,10,1ms,1679007101600,1679007408784
40,70,1,0,10,100ms,1679007408788,1679007715904
40,70,0,1,0,0,1679007718797,1679008027999
40,70,0,0,1,1ms,1679008032530,1679008332530
40,70,0,0,1,100ms,1679008332531,1679008632531
40,70,0,0,5,1ms,1679008632533,1679008932533
40,70,0,0,5,100ms,1679008932535,1679009232535
40,70,0,0,10,1ms,1679009232537,1679009532537
40,70,0,0,10,100ms,1679009532540,1679009832540
70,70,1,1,0,0,1679009834386,1679010144674
70,70,1,0,1,1ms,1679010144952,1679010452428
70,70,1,0,1,100ms,1679010452431,1679010760789
70,70,1,0,5,1ms,1679010760792,1679011066858
70,70,1,0,5,100ms,1679011066861,1679011375092
70,70,1,0,10,1ms,1679011375095,1679011683560
70,70,1,0,10,100ms,1679011683564,1679011991202
70,70,0,1,0,0,1679011994068,1679012301066
70,70,0,0,1,1ms,1679012305563,1679012605563
70,70,0,0,1,100ms,1679012605566,1679012905566
70,70,0,0,5,1ms,1679012905568,1679013205568
70,70,0,0,5,100ms,1679013205572,1679013505572
70,70,0,0,10,1ms,1679013505574,1679013805574
70,70,0,0,10,100ms,1679013805576,1679014105576
100,70,1,1,0,0,1679014107427,1679014416597
100,70,1,0,1,1ms,1679014416889,1679014727077
100,70,1,0,1,100ms,1679014727080,1679015036255
100,70,1,0,5,1ms,1679015036258,1679015344228
100,70,1,0,5,100ms,1679015344231,1679015650479
100,70,1,0,10,1ms,1679015650482,1679015959209
100,70,1,0,10,100ms,1679015959211,1679016269224
100,70,0,1,0,0,1679016272020,1679016579458
100,70,0,0,1,1ms,1679016583849,1679016883849
100,70,0,0,1,100ms,1679016883852,1679017183852
100,70,0,0,5,1ms,1679017183854,1679017483854
100,70,0,0,5,100ms,1679017483856,1679017783856
100,70,0,0,10,1ms,1679017783858,1679018083858
100,70,0,0,10,100ms,1679018083860,1679018383860
