traffic,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
46,33,1,1,0,0,1679868411241,1679868721163
46,33,1,0,1,1ms,1679868721446,1679869026505
46,33,1,0,1,25ms,1679869026508,1679869332841
46,33,1,0,1,50ms,1679869332844,1679869640817
46,33,1,0,2,1ms,1679869640820,1679869947129
46,33,1,0,2,25ms,1679869947133,1679870253655
46,33,1,0,2,50ms,1679870253658,1679870558098
46,33,1,0,5,1ms,1679870558100,1679870866568
46,33,1,0,5,25ms,1679870866571,1679871174533
46,33,1,0,5,50ms,1679871174536,1679871481423
