traffic,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
46,33,1,1,0,0,1679881741693,1679882044644
46,33,1,0,1,1ms,1679882044889,1679882351498
46,33,1,0,1,25ms,1679882351502,1679882661997
46,33,1,0,1,50ms,1679882662001,1679882964636
46,33,1,0,2,1ms,1679882964640,1679883273982
46,33,1,0,2,25ms,1679883273986,1679883584258
46,33,1,0,2,50ms,1679883584260,1679883894478
46,33,1,0,5,1ms,1679883894482,1679884197229
46,33,1,0,5,25ms,1679884197237,1679884499431
46,33,1,0,5,50ms,1679884499434,1679884806729
