traffic,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
70,70,1,1,0,0,1679890960486,1679891264931
70,70,1,0,1,1ms,1679891265293,1679891568532
70,70,1,0,1,25ms,1679891568534,1679891869828
70,70,1,0,1,50ms,1679891869832,1679892172815
70,70,1,0,2,1ms,1679892172817,1679892477361
70,70,1,0,2,25ms,1679892477364,1679892781106
70,70,1,0,2,50ms,1679892781108,1679893092676
70,70,1,0,5,1ms,1679893092684,1679893398026
70,70,1,0,5,25ms,1679893398030,1679893703786
70,70,1,0,5,50ms,1679893703790,1679894008616
