traffic,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
70,70,1,1,0,0,1680577536027,1680578139691
70,70,1,0,1,1ms,1680578140152,1680578743140
70,70,1,0,1,25ms,1680578743142,1680579349398
70,70,1,0,1,50ms,1680579349400,1680579952028
70,70,1,0,2,1ms,1680579952031,1680580558267
70,70,1,0,2,25ms,1680580558269,1680581165562
70,70,1,0,2,50ms,1680581165564,1680581773993
70,70,1,0,5,1ms,1680581773996,1680582379500
70,70,1,0,5,25ms,1680582379502,1680582993227
70,70,1,0,5,50ms,1680582993229,1680583596933
