app,spike_duration,capacity,cb_controller,retry_controller,retry_attempt,retry_interval,start,end
online-boutique,1,33,1,1,0,0,1680463559669,1680464171874
online-boutique,1,33,1,0,1,1ms,1680464171878,1680464777718
online-boutique,1,33,1,0,1,25ms,1680464777721,1680465383435
online-boutique,1,33,1,0,1,50ms,1680465383438,1680465991680
online-boutique,1,33,1,0,2,1ms,1680465991683,1680466599145
online-boutique,1,33,1,0,2,25ms,1680466599147,1680467202298
online-boutique,1,33,1,0,2,50ms,1680467202304,1680467809666
online-boutique,1,33,1,0,5,1ms,1680467809668,1680468417346
online-boutique,1,33,1,0,5,25ms,1680468417349,1680469023075
online-boutique,1,33,1,0,5,50ms,1680469023077,1680469626410
online-boutique,5,33,1,1,0,0,1680469626702,1680470240701
online-boutique,5,33,1,0,1,1ms,1680470240705,1680470847353
online-boutique,5,33,1,0,1,25ms,1680470847356,1680471458485
online-boutique,5,33,1,0,1,50ms,1680471458488,1680472065859
online-boutique,5,33,1,0,2,1ms,1680472065861,1680472670765
online-boutique,5,33,1,0,2,25ms,1680472670771,1680473275876
online-boutique,5,33,1,0,2,50ms,1680473275878,1680473881814
online-boutique,5,33,1,0,5,1ms,1680473881817,1680474487419
online-boutique,5,33,1,0,5,25ms,1680474487423,1680475096209
online-boutique,5,33,1,0,5,50ms,1680475096213,1680475699305
online-boutique,10,33,1,1,0,0,1680475700332,1680476311026
online-boutique,10,33,1,0,1,1ms,1680476311029,1680476913600
online-boutique,10,33,1,0,1,25ms,1680476913602,1680477517210
online-boutique,10,33,1,0,1,50ms,1680477517213,1680478125351
online-boutique,10,33,1,0,2,1ms,1680478125352,1680478734825
online-boutique,10,33,1,0,2,25ms,1680478734826,1680479336551
online-boutique,10,33,1,0,2,50ms,1680479336553,1680479944532
online-boutique,10,33,1,0,5,1ms,1680479944533,1680480552792
online-boutique,10,33,1,0,5,25ms,1680480552795,1680481164305
online-boutique,10,33,1,0,5,50ms,1680481164311,1680481773407
online-boutique,15,33,1,1,0,0,1680481773695,1680482380422
online-boutique,15,33,1,0,1,1ms,1680482380425,1680482987017
online-boutique,15,33,1,0,1,25ms,1680482987020,1680483599241
online-boutique,15,33,1,0,1,50ms,1680483599244,1680484207805
online-boutique,15,33,1,0,2,1ms,1680484207808,1680484811024
online-boutique,15,33,1,0,2,25ms,1680484811027,1680485423440
online-boutique,15,33,1,0,2,50ms,1680485423443,1680486033794
online-boutique,15,33,1,0,5,1ms,1680486033797,1680486644723
online-boutique,15,33,1,0,5,25ms,1680486644725,1680487256027
online-boutique,15,33,1,0,5,50ms,1680487256029,1680487865895
online-boutique,30,33,1,1,0,0,1680487866185,1680488475602
online-boutique,30,33,1,0,1,1ms,1680488475604,1680489077852
online-boutique,30,33,1,0,1,25ms,1680489077854,1680489689091
online-boutique,30,33,1,0,1,50ms,1680489689094,1680490297547
online-boutique,30,33,1,0,2,1ms,1680490297549,1680490907471
online-boutique,30,33,1,0,2,25ms,1680490907473,1680491515039
online-boutique,30,33,1,0,2,50ms,1680491515041,1680492126765
online-boutique,30,33,1,0,5,1ms,1680492126768,1680492729668
